iter	Logloss
0	0.6397384244
1	0.5819616507
2	0.5319882697
3	0.4916052693
4	0.4500934381
5	0.409982188
6	0.3755248065
7	0.3517476506
8	0.3224432661
9	0.3006449914
10	0.2734026045
11	0.2487810544
12	0.2259904632
13	0.2100588334
14	0.1921907275
15	0.1753211695
16	0.1609837078
17	0.1499989774
18	0.1379393892
19	0.1260089495
20	0.1165044175
21	0.1080411342
22	0.09949194624
23	0.09191615719
24	0.08536885846
25	0.07874565724
26	0.07265839102
27	0.06756297806
28	0.06203797425
29	0.05751883222
30	0.0534099479
31	0.04951919236
32	0.0461744618
33	0.04307598493
34	0.04015683878
35	0.03745195079
36	0.03514036808
37	0.03279921047
38	0.03076445095
39	0.02874127533
40	0.02687287655
41	0.02518879156
42	0.02368203208
43	0.02234932066
44	0.02106090166
45	0.01984147077
46	0.01868854942
47	0.01758527107
48	0.01665067024
49	0.01570677533
50	0.01491004884
51	0.01417657543
52	0.0134755519
53	0.01282254663
54	0.01217111717
55	0.01163761379
56	0.01108386554
57	0.01047750143
58	0.0099546792
59	0.00950120157
60	0.009107108391
61	0.008703092006
62	0.008277532068
63	0.00793161542
64	0.007592173272
65	0.007295453236
66	0.00699718036
67	0.006691117811
68	0.006383179869
69	0.006109686048
70	0.005869499926
71	0.005638619867
72	0.005418474886
73	0.005208444845
74	0.00501099182
75	0.004831808899
76	0.004681172795
77	0.004510345259
78	0.004363168846
79	0.004199511843
80	0.004046790887
81	0.003919429929
82	0.003787025232
83	0.003661296755
84	0.003547981023
85	0.00344101771
86	0.003330924748
87	0.003233089747
88	0.003128013561
89	0.003042014856
90	0.002955869605
91	0.002868218197
92	0.002784026231
93	0.002700328827
94	0.002617931865
95	0.002539247992
96	0.002477167289
97	0.002413787892
98	0.002353708157
99	0.002291018301
100	0.002235392126
101	0.002180772302
102	0.002131782652
103	0.002082533861
104	0.002036131115
105	0.00199156906
106	0.001944771237
107	0.001900301429
108	0.001848478966
109	0.001809538597
110	0.00176950225
111	0.001725849182
112	0.001690415687
113	0.001658524518
114	0.001625174877
115	0.001592677426
116	0.001556877316
117	0.001529084325
118	0.001496659524
119	0.001468174245
120	0.001442013361
121	0.00141429614
122	0.001386615369
123	0.001362071487
124	0.001339780598
125	0.001312048398
126	0.001285898498
127	0.001264454058
128	0.001240643032
129	0.00121823231
130	0.001195817468
131	0.00117287461
132	0.001151149186
133	0.001132607086
134	0.001112045168
135	0.001094782914
136	0.001074836142
